winningTeam,season,f0_
Kings XI Punjab,2009,7
Deccan Chargers,2009,9
Royal Challengers Bangalore,2009,9
Mumbai Indians,2009,5
Chennai Super Kings,2009,8
Rajasthan Royals,2009,6
Delhi Daredevils,2009,10
Kolkata Knight Riders,2009,3
Kolkata Knight Riders,2019,6
Royal Challengers Bangalore,2019,5
Sunrisers Hyderabad,2018,10
Kolkata Knight Riders,2018,9
Mumbai Indians,2018,6
Mumbai Indians,2017,12
Kolkata Knight Riders,2017,9
Kolkata Knight Riders,2016,8
Mumbai Indians,2015,10
Kolkata Knight Riders,2015,7
Kolkata Knight Riders,2014,11
Mumbai Indians,2013,13
Kolkata Knight Riders,2013,6
Mumbai Indians,2012,10
Kolkata Knight Riders,2012,12
Kings XI Punjab,2012,8
Kolkata Knight Riders,2011,8
Kochi Tuskers Kerala,2011,6
Kolkata Knight Riders,2010,7
Chennai Super Kings,2010,9
Chennai Super Kings,2008,9
Kolkata Knight Riders,2008,6
Delhi Daredevils,2011,4
Deccan Chargers,2011,6
Kings XI Punjab,2014,12
Deccan Chargers,2012,4
Deccan Chargers,2010,8
Royal Challengers Bangalore,2017,3
Delhi Daredevils,2017,6
Sunrisers Hyderabad,2016,11
Delhi Daredevils,2016,7
Gujarat Lions,2016,9
Delhi Daredevils,2015,5
Chennai Super Kings,2013,12
Royal Challengers Bangalore,2013,9
Rajasthan Royals,2013,11
Royal Challengers Bangalore,2012,8
Delhi Daredevils,2012,11
Pune Warriors,2012,4
Delhi Daredevils,2010,7
Mumbai Indians,2010,11
Kings XI Punjab,2008,10
Delhi Daredevils,2008,7
Mumbai Indians,2019,11
Delhi Capitals,2019,10
Rising Pune Supergiant,2017,10
Kings XI Punjab,2017,7
Royal Challengers Bangalore,2015,8
Kings XI Punjab,2015,3
Mumbai Indians,2014,7
Mumbai Indians,2011,10
Rajasthan Royals,2008,13
Rajasthan Royals,2015,7
Sunrisers Hyderabad,2015,7
Delhi Daredevils,2018,5
Kings XI Punjab,2018,6
Delhi Capitals,2020,9
Kolkata Knight Riders,2020,7
Mumbai Indians,2020,11
Sunrisers Hyderabad,2020,8
Chennai Super Kings,2014,10
Royal Challengers Bangalore,2022,9
Royal Challengers Bangalore,2016,9
Chennai Super Kings,2015,10
Royal Challengers Bangalore,2014,5
Chennai Super Kings,2012,10
Rajasthan Royals,2012,7
Royal Challengers Bangalore,2011,10
Royal Challengers Bangalore,2010,8
Royal Challengers Bangalore,2008,4
Royal Challengers Bangalore,2018,6
Rajasthan Royals,2018,7
Chennai Super Kings,2019,10
Kings XI Punjab,2019,6
Chennai Super Kings,2011,11
Kolkata Knight Riders,2021,9
Royal Challengers Bangalore,2021,9
Punjab Kings,2021,6
Royal Challengers Bangalore,2020,7
Rajasthan Royals,2020,6
Sunrisers Hyderabad,2022,6
Lucknow Super Giants,2022,9
Punjab Kings,2022,7
Rajasthan Royals,2022,10
Chennai Super Kings,2021,11
Mumbai Indians,2022,4
Delhi Capitals,2022,7
Mumbai Indians,2008,7
Pune Warriors,2013,4
Rajasthan Royals,2021,5
Rajasthan Royals,2014,7
Sunrisers Hyderabad,2014,6
Rajasthan Royals,2010,6
Mumbai Indians,2021,7
Sunrisers Hyderabad,2021,3
Delhi Capitals,2021,10
Kolkata Knight Riders,2022,6
Chennai Super Kings,2022,4
Gujarat Titans,2022,12
Sunrisers Hyderabad,2019,6
Chennai Super Kings,2018,11
Kings XI Punjab,2020,6
Chennai Super Kings,2020,6
Kings XI Punjab,2016,4
Sunrisers Hyderabad,2013,10
Sunrisers Hyderabad,2017,8
Rising Pune Supergiants,2016,5
Kings XI Punjab,2013,8
Kings XI Punjab,2011,7
Delhi Daredevils,2013,3
Mumbai Indians,2016,7
Rajasthan Royals,2019,5
Gujarat Lions,2017,4
Kings XI Punjab,2010,4
Rajasthan Royals,2011,6
Delhi Daredevils,2014,2
Pune Warriors,2011,4
Deccan Chargers,2008,2
NA,2011,1
NA,2015,2
NA,2019,1